cibil_score,annual_income,employment_years,loan_amount,loan_term_months,residential_assets,commercial_assets,existing_liabilities,loan_status
500,4018909,19.1,2730078,12,2115089,4384196,936927,0
447,2685817,18.7,1925230,120,3013551,3362740,1343585,0
477,1142968,8.8,2904547,120,3252479,1416945,2657279,1
396,1814629,4.0,1519994,120,6578490,44050,2188740,0
321,3504770,28.8,901337,12,7742036,1174802,1795891,0
864,953722,3.1,2709004,120,5978256,2088858,248766,0
344,2717144,15.9,3093928,60,6761758,667100,2199476,1
833,256683,8.2,2619653,48,1001028,4410732,1097121,0
301,1760408,7.9,2287270,24,1197343,275889,1156327,1
767,1390145,17.8,59635,48,7265067,2703330,2021713,0
497,3469209,23.9,2569554,36,4910026,4883462,1180652,0
611,4587297,23.3,2492971,120,1885783,1674818,1718672,0
469,903109,26.1,1679175,36,6334914,2683884,37852,0
594,4026859,8.8,1012887,24,1399731,367279,555039,0
571,3348426,14.0,3917481,120,6144083,3648223,1613706,0
618,4855010,0.3,1532173,24,7064903,4887414,2873161,0
536,4575252,22.4,1124534,120,3910764,3864868,2282391,0
622,683655,9.1,2840078,120,5250992,747172,1252713,1
796,3767471,16.8,1953769,36,5854651,1761585,2906474,0
561,3042458,5.1,2251676,60,7042818,3617794,826238,0
517,742799,24.6,2610813,84,4668693,3994530,2676681,1
379,1434322,24.5,1506188,48,2347931,2016900,1210293,0
516,4649333,26.3,651592,60,1611560,4807422,260973,0
375,2806120,1.4,711271,12,2844333,1017722,7429,0
409,1824620,29.8,3761611,48,448429,3708809,2941561,1
872,1738183,7.4,2046655,48,5589297,2482308,1926601,0
353,4221756,9.3,1697171,48,2955997,3558666,448442,0
589,1560634,7.5,1311496,120,5692514,2980100,2975947,0
801,962667,8.0,2900465,84,495512,2161169,123342,1
872,2954458,16.6,3656065,60,2574959,4076896,1004066,0
388,4964049,7.2,3087348,36,3160107,4206601,2246790,0
398,1079927,11.8,2160669,36,700371,4086355,159699,0
523,1425533,19.7,1928052,12,6631032,444186,2717660,1
633,2451840,25.1,3470558,48,4780425,2115219,2034093,1
876,1159105,20.8,3432487,24,6754354,3748419,2849349,0
424,3323899,17.8,1591215,120,6414828,4333847,2511758,0
398,1417387,4.4,3858931,84,272591,1809968,2474929,1
452,815274,24.5,3318377,120,6922783,3702859,682502,1
825,1454088,1.1,3392606,120,556283,2829870,614718,1
318,4666853,7.9,273320,36,6969311,1103007,726540,0
528,4687497,1.7,563547,36,5358937,4464819,462008,0
371,2627479,20.0,1227570,60,6555434,2223913,1992900,0
394,2122196,11.1,3057016,48,3999990,3025098,176905,0
851,4133735,19.6,358795,24,1281226,1442116,1285411,0
300,1132467,10.4,377349,60,1194867,127907,1745907,1
493,3338746,13.7,175018,48,949776,2264152,1616749,0
850,3464248,13.7,808102,120,6444237,3613024,1461664,0
665,3608005,1.4,3679506,24,4268618,1635900,669256,1
343,1246138,12.9,2898774,48,1731969,4645123,327850,0
579,3637429,19.2,2881632,48,998820,3750965,2964822,0
883,3137560,16.4,1205506,120,625194,3210060,1394481,0
540,4400480,2.3,2519185,60,2064742,4033282,1784752,0
617,1037079,20.0,3126986,12,5996057,4307101,1701971,0
619,3145306,9.3,2153347,36,7139294,3606129,1106788,0
696,4182267,0.4,3431738,120,4865008,4126479,2168864,0
412,1535442,4.7,2299739,24,7965663,3566481,1128636,0
804,3770137,14.9,1332111,36,3155542,4306462,1242593,0
894,677646,9.3,2572827,24,2660102,518754,2410408,1
385,3646877,20.8,3775390,84,5541810,1720502,955057,1
791,3110003,7.2,3314991,12,1077385,4438976,2098474,1
790,1124247,23.2,2018937,36,7291046,2370818,1997038,0
745,518493,8.6,2407710,60,6241153,74742,91785,1
522,3778346,18.6,3905055,120,273459,4240168,2052671,0
581,1358208,24.0,3006894,24,1497889,3278027,2404063,1
804,2587740,11.6,2034894,36,5021436,4551993,811285,0
391,491394,1.4,1159863,12,5908383,81097,2743134,1
798,4824776,16.1,3628205,48,1745338,734207,59469,0
853,2834660,29.9,3908209,120,5975543,2552407,539185,0
709,4671585,29.1,329402,36,3793102,907662,2837072,0
505,969623,6.6,175994,24,5401869,2603516,2566524,0
636,1187807,22.7,504638,36,3391849,1734148,2265859,0
330,3129955,10.3,1576977,120,3633988,1050851,1811854,1
860,3101576,4.8,681510,48,3119837,3851489,603313,0
505,3996153,20.0,3534096,60,1255576,194458,1467600,1
334,4654674,15.0,3661150,84,1522848,4374906,1696997,1
777,4145028,16.2,763065,84,1341419,768919,269025,0
695,873055,24.8,3324827,60,6421200,2901201,1784843,0
674,1685809,10.1,608285,48,3386107,4957597,267665,0
332,4586352,20.0,3159946,48,3036165,566340,377966,1
751,2834982,11.0,1493451,24,6845309,4634327,510055,0
683,4361668,1.3,209141,36,7097570,1518741,574971,0
776,2902452,11.3,1741369,84,1871838,3705121,246164,0
797,438754,28.5,3299906,12,2837346,4285115,2870120,1
427,2469858,14.5,3736907,84,3293916,1158525,2407770,1
426,4158368,3.2,528437,48,6717707,1737775,1524033,0
855,3344547,20.6,3352672,36,5373026,4304385,1105911,0
619,837340,28.9,1208328,12,4355731,514036,574326,0
563,1208418,27.2,1883154,84,1881012,542777,2847026,1
472,4300996,17.2,479705,12,3085002,1510342,2392725,0
684,4900368,11.3,3893252,48,230774,3015658,2255939,1
753,3813872,17.4,3171496,24,5632258,4033532,1411720,0
301,670783,24.5,2587000,120,7350849,2812841,82345,0
632,3172138,25.8,2921857,24,6293237,2467398,1915236,0
897,4180262,24.6,3500952,84,2474355,4354734,1462621,0
468,3272935,13.7,616530,60,3861526,857864,892504,0
468,3051661,3.6,1021925,12,7660809,4508607,945287,0
827,2443318,17.1,197495,84,3403363,1563162,173712,0
337,1375303,4.7,1981408,120,6712933,1379844,2615049,1
538,1547678,1.8,2001835,24,4619352,4767907,494832,0
575,3779240,15.0,167383,120,3991435,3229550,2439377,0
779,535098,19.7,2663151,84,4681307,2159787,2919111,1
377,605508,25.6,85076,84,1788859,1650703,137940,0
560,2103996,23.5,3181808,36,3403834,2207996,1870765,1
391,3917206,25.7,2836540,12,2434821,3958155,200213,0
773,3353770,22.8,3269748,48,6061303,765348,2493256,0
680,3031929,21.1,517259,84,4899022,871876,1521544,0
598,2763835,0.3,3487982,60,3197771,1522771,64558,0
536,731601,18.8,2213843,60,6580008,2411041,2317108,1
392,1792615,3.6,3460185,84,3623987,4073431,2296388,1
854,581626,1.8,2799230,36,7626396,1053786,2774764,0
689,3839158,4.7,2642752,12,4842546,3930995,1454856,0
491,3804015,24.7,177326,120,7085729,4538359,2798963,0
548,1438854,22.3,2783347,60,7894792,2177494,1995924,1
736,1606092,28.5,1822528,48,2615984,4806341,1577966,0
732,1723783,29.4,3404478,60,2085489,4468262,1074615,1
577,4468649,26.8,2752400,84,6685048,3985993,879066,0
482,2544927,4.0,343700,84,1855622,1901294,1862607,0
696,3857951,26.4,3564438,60,6016774,1503142,2218606,1
695,2354371,25.2,298473,84,1415098,4321648,106859,0
660,3551313,26.1,1231959,36,6958794,2207660,1235755,0
343,2735967,4.6,906407,60,5515554,157827,136766,0
584,1537309,3.5,3898156,120,4168314,3585983,1189982,1
668,4406237,27.7,655123,24,3592757,1736151,2396510,0
870,3602934,5.2,3385939,48,5098116,4678438,2072318,0
615,3892823,11.1,927561,60,3108851,4275343,373395,0
505,4751109,13.7,2620009,48,3182361,521706,2150580,0
634,1394097,3.7,406862,120,1632723,4506548,41951,0
406,639487,0.6,1598106,36,1262752,4748494,37166,1
354,2994906,29.8,2511258,24,7129107,3782120,2737370,0
707,1765581,26.3,2858886,12,5993627,1376794,98174,0
892,2291731,27.4,3496360,84,3545384,3349329,796595,0
808,1326427,8.5,3273964,60,6653795,4340082,395803,0
650,2112649,6.6,2098690,60,4861547,4077525,1747147,0
324,2087601,12.8,1248034,48,4792650,2155290,1566822,0
893,1882668,13.6,1081930,36,900236,3537791,2516751,0
570,3763197,0.2,3971679,120,4306209,1929233,2961272,1
474,3044732,23.4,2452810,60,863777,1271105,2237721,1
836,2476364,29.9,3639047,120,5471452,3364205,1400120,0
748,741034,15.9,1763305,84,538836,2331184,139883,1
750,2939507,11.6,1967731,84,4113946,1124023,2767259,1
466,1040101,11.8,3311741,48,2938769,3303525,1682846,1
896,1707943,2.9,2905178,24,1046579,1608741,652404,1
572,2191550,8.0,843076,60,3783093,2939014,1625394,0
619,878188,15.1,2119835,84,1605382,1807007,1175360,0
751,2069550,13.0,893123,48,1956625,4425488,1050240,0
696,1481281,16.4,3055676,12,7119144,4253019,1359983,0
403,4278862,25.5,168242,120,2797420,2369223,2260689,0
481,4326466,6.8,3316580,84,3231507,3552302,491456,0
517,221926,0.8,3719763,36,50080,889937,2892017,1
869,3091602,1.1,141729,48,2404184,4986876,187262,0
729,3274645,4.0,2540039,12,2808708,1072910,441560,0
520,2014346,17.1,362571,120,5753248,4334765,2028652,0
741,2451786,24.2,1472687,24,953370,4230283,435672,0
743,3991549,26.6,1379046,36,7439002,890896,2332957,0
536,2014220,19.1,2102814,36,1027075,43604,2204208,1
542,509395,12.1,3674574,24,5222397,3685210,1289661,1
837,1988036,4.6,1873304,60,36048,4345652,1363249,0
637,1418677,12.0,1623181,120,6556813,3581815,2999925,0
389,2037067,10.0,416477,84,5571045,277940,2385657,0
732,1304495,26.1,3555674,48,6700464,3227280,1896067,1
654,919389,14.6,1293067,12,7450271,1958292,423232,0
605,4929750,6.8,1876614,120,6671945,4578172,1769007,0
735,818561,8.7,414592,24,4972365,4000881,119572,0
845,3589273,4.1,1190969,120,6707728,3994602,755444,0
498,3644368,27.6,2235733,36,769616,2038077,2093802,1
551,3165373,1.5,3607549,48,5161699,1610233,1222885,1
413,4574991,0.4,1349129,48,7917196,4111741,2984134,0
688,223927,5.5,2264650,48,3017572,575771,2818095,1
542,1647820,24.3,3508790,24,7804682,501494,284394,1
505,1084688,15.7,1473913,48,4053283,310763,2650295,1
718,2969246,18.8,1214566,36,3745876,2557711,2593014,0
545,3250598,10.7,225407,84,2400978,377299,318403,0
579,4509928,2.1,3636435,48,862953,2912370,1155869,1
564,2022653,25.7,488185,120,7010885,836733,2845820,0
455,1332314,5.8,900903,36,5765915,4454343,50368,0
375,4636546,1.0,600275,36,3201626,2161814,175899,0
797,3430342,17.2,2844675,12,7691746,468107,1530065,0
355,3870677,2.5,1491103,84,1470651,3468317,2859336,0
495,2335897,2.9,2834644,12,6229597,1693003,836562,0
701,2347443,24.0,2448965,24,3617664,1309131,2318503,1
378,2067424,14.7,109594,120,4993623,3296741,2080210,0
693,3797672,7.2,1264981,60,297930,4778187,438132,0
740,1210954,10.5,66126,48,4886655,4899651,863492,0
698,4881941,21.9,308834,84,5433350,2177524,1872290,0
483,1044441,2.0,1918363,84,7823345,4241372,1445100,1
311,2412708,3.5,1095994,120,2768950,1046739,711939,1
833,1710144,18.5,402003,60,584954,4232476,601695,0
496,3284124,18.2,1664292,48,493397,4710117,1671590,1
783,3467321,29.2,1835030,12,1196448,2585913,2484306,0
418,4609591,11.2,3969467,36,2395535,2615108,1238986,0
397,3988243,2.0,2663117,60,6646492,2821496,2776295,0
767,1393638,16.1,1602298,24,1561489,365020,2001620,0
864,1191954,19.2,1919525,60,1160904,4292901,1210007,0
817,4455478,4.2,402321,12,254991,3688048,2120699,0
751,2541778,16.6,1577275,12,3066372,4348128,1346640,0
448,668214,5.9,2345404,36,4827863,576654,2270043,1
848,4159861,25.3,132867,24,2251994,4011373,2948052,0
701,3312551,25.1,3682579,120,3963860,1813843,2363637,0
403,322741,12.9,2084571,36,1947557,4092857,426346,1
377,3957623,29.0,3157448,36,6400032,4969400,214834,0
823,3115404,29.4,1138610,36,205775,4398150,2425859,0
465,3150110,3.9,3353063,36,1605533,4577821,2541783,1
760,4351700,11.0,1499055,120,4530010,568909,1701836,0
383,2578567,18.0,3716516,84,6739407,1643339,734958,1
468,2414075,2.5,2112497,24,3209916,1463197,2642204,1
470,3163266,11.5,2564347,24,557195,2568651,1345372,1
468,1149356,7.8,854986,12,4412722,4880568,877285,0
705,927985,28.6,3979945,24,2163146,3429120,1098742,1
849,4250133,12.3,810925,60,2436065,2723881,888474,0
847,1234739,22.9,181462,120,7378037,4024942,847177,0
745,2620853,11.6,1787334,48,7531687,882319,977460,0
421,1495517,4.0,3347617,12,2070285,3302706,2022532,1
877,1306198,25.9,3688654,12,4730778,2515278,49893,0
625,3069341,0.0,3435193,36,4326693,1016279,1088667,1
628,4051339,1.7,2234589,24,7689657,3228921,509678,0
721,2321125,10.9,3670967,60,7569690,4202380,1944414,1
762,865895,20.6,1993516,12,2800047,4141110,2983760,0
872,1373484,10.3,1938769,24,203392,4215736,2363500,1
650,989953,2.0,763966,48,18316,4060884,746845,0
666,4437485,9.5,3161636,24,37168,2344659,1539540,1
748,1733744,7.3,1298574,36,6250125,246207,59751,0
453,1994825,0.2,820567,24,5919190,4826600,1238726,0
484,540978,16.0,1509709,12,6619031,2267625,835621,0
675,2340952,3.5,2432364,36,1116330,3163933,1505239,1
338,4586838,8.6,1116515,36,469627,102845,1225170,1
492,2166565,19.2,1466648,120,1363301,4443393,2047968,1
731,3325969,21.8,1353948,120,5002954,4440781,1643362,0
886,1073326,7.9,2404886,48,71944,4641003,2816679,1
612,886112,9.9,2870591,36,5288143,869530,205698,1
540,3711810,7.4,2718464,36,7111243,4214884,2833741,1
564,515532,28.7,607587,60,1165871,3124374,2371287,0
711,2352600,5.7,1420921,36,5910878,730526,2138663,1
627,1720180,5.5,2611556,84,4420196,2853092,2476504,1
313,278034,13.4,904141,120,7553315,2382389,151159,0
624,2749790,5.7,324412,36,1945591,3127647,639481,0
540,4827266,4.7,1320667,12,1815166,418322,2415,0
721,531911,2.9,2730952,12,131613,2817083,2395255,1
825,4115666,19.2,2672631,120,5641013,3387376,1063849,0
878,2788059,18.4,562644,36,6935289,3577944,1084281,0
666,3673085,19.5,2723653,36,150271,3845859,1831973,1
517,663435,23.2,817994,60,3933561,3130550,1269330,0
566,4371641,9.8,2978202,120,5792869,3506887,1911697,1
406,254799,27.6,2287776,36,6253593,451501,2809165,1
862,4552675,22.0,549819,36,7442370,3989432,996217,0
809,3357472,24.1,1433218,120,5783144,1833840,2675714,0
813,1819950,21.6,3283144,12,7364370,2738004,1597160,0
497,234089,10.8,1759175,84,7949643,2732967,1125332,0
493,3132602,8.5,2768184,48,7420033,4880271,2757421,0
814,619687,12.7,3005657,12,3503627,1625987,1464331,0
627,3122278,2.9,170495,24,3256276,1921549,383218,0
723,3911098,13.5,3729328,60,3420405,3801655,859571,0
594,1483038,1.3,1375611,84,7605692,3171585,2536552,0
566,1345868,0.1,3183955,24,2254044,1589488,1546303,1
679,1265371,27.9,1893509,60,6018720,1721592,1680079,0
788,1279225,20.7,2329008,120,5001178,4143421,2045724,0
500,746754,16.9,1474439,60,493823,4179309,583397,1
786,1398568,10.2,3420229,60,3888900,733668,278003,0
446,3364708,17.1,513796,24,1557831,1999438,1321191,0
542,1652082,26.7,3589662,60,5830089,3846963,2759524,1
848,3948411,19.6,869018,60,3578757,593055,381438,0
873,4132589,18.1,3538483,12,2852093,917327,2156622,0
855,3852575,13.8,147017,36,525004,792535,2937607,0
489,2789742,10.4,104401,120,1046758,2640076,290258,0
806,1718122,21.0,417654,120,6112239,2254773,2606967,0
862,4663492,29.4,2214086,24,6899484,1602622,325520,0
887,1185247,12.7,1101885,84,2329045,679955,2231049,1
312,2429644,11.8,2411689,48,6624376,3186672,2391717,0
747,2377348,12.8,3288883,60,4416017,4036487,939380,0
899,3778829,12.8,157244,48,2808001,1063702,874999,0
759,2824705,29.7,2130218,120,3611738,3332297,1564299,0
440,4037667,21.2,2970169,48,5522814,3977049,1519612,1
758,4611619,10.8,1726767,60,7272849,2785475,2580392,0
363,2075001,11.1,3703945,60,3939223,2867919,1777109,1
588,4399152,12.9,2665544,48,2772886,834023,2904377,1
676,1014480,1.1,186404,120,6087777,4786366,719772,0
574,4597080,15.8,2188967,24,4200768,4782512,843232,0
720,1054349,24.3,1566619,120,3121059,3558852,723193,0
444,4281260,19.8,569480,60,3678217,4513696,1951675,0
664,2073187,6.0,3804096,120,4285114,3036978,100516,1
687,4829990,21.8,929362,36,1121778,3306118,2580741,0
680,820134,21.6,379297,48,462528,4145794,2315475,0
473,2434400,7.9,928963,12,5318174,190673,2964501,0
483,4529026,18.7,3300998,120,1399280,1098413,2875375,1
454,427872,18.3,2419813,84,4253044,1017020,212155,1
577,1472071,25.2,3288887,36,6254125,3163712,2243065,1
652,601097,4.1,1873416,12,1719838,1211955,1510866,1
517,1742113,5.8,512073,60,3052524,1952019,2206500,0
546,2073325,14.6,1580961,60,7826369,2468855,2620998,0
472,3170675,1.3,839090,48,280843,3718955,1749530,0
431,1436898,12.5,2248725,24,6045787,2587096,9474,0
695,961685,23.6,1114229,120,1341090,122347,2594270,1
790,1015715,4.5,3881958,48,7245386,3433458,1311706,1
474,4704340,13.8,1539956,84,3292784,2138560,1376247,0
817,4775379,29.7,1291064,120,54270,566952,1752596,0
643,1262740,15.2,3938758,48,5743305,3258510,2734823,1
400,1138014,14.9,2104772,12,1178001,1351097,1579471,1
519,460138,16.8,723416,120,2907880,2303197,622987,0
304,4805021,5.6,1947462,60,4018653,4837472,2198318,0
323,3589523,4.4,1056039,120,5961486,1189858,1899050,0
502,3852027,20.3,2880740,60,3351493,4426252,196566,0
573,1594755,11.9,2316117,120,6864485,2321746,1598005,1
779,3276539,8.7,2934647,120,3853641,4662769,2356250,0
380,487085,0.9,3763537,24,2729093,4248723,2652294,1
804,3444891,25.4,2929830,24,6403005,4161280,849511,0
440,2982353,1.0,1395239,24,5318927,1034195,1567597,0
383,1791077,22.5,846002,84,1015045,3954394,2472688,1
720,3610253,11.5,2141011,24,6002992,1835861,1751279,0
765,3302850,18.0,1823918,48,3322268,4550767,1258464,0
663,2307193,7.4,1286550,84,2790659,4951678,552730,0
369,1096122,4.7,3254140,48,780499,3058943,128755,1
369,313118,16.0,3642003,12,7985730,4564086,2070260,1
534,4700987,20.9,1557044,36,420223,2666627,2891745,0
570,1550524,5.9,2739511,12,7973131,169841,1802459,1
900,1648608,13.1,3937808,36,516219,4369918,2341648,1
472,3469117,13.3,96973,84,4042680,2651660,2031513,0
415,1424895,6.5,1490907,48,838016,220150,1043448,1
868,2003622,17.0,2964437,60,3942669,327065,1568459,1
392,3613582,4.4,2015784,12,6685808,3616224,810082,0
315,3057804,15.3,3177953,84,4720380,4619525,669623,0
554,3350954,3.4,1924376,36,4349417,3486917,1766891,0
541,222419,14.6,304383,36,951744,2207725,1938026,0
672,2366235,9.3,1762972,60,7579106,1534954,2961884,0
827,2481286,13.6,1647796,12,3003134,2092185,708595,0
860,3235742,13.0,3390244,48,4304002,1614071,870500,0
474,927000,27.2,632030,36,7181596,1364730,498373,0
889,965566,14.7,663337,24,5029691,641830,2844814,0
680,3859672,24.6,608919,120,5879621,2844095,2344440,0
341,3431976,6.8,2292276,36,1475871,1091928,991161,0
864,4093676,10.6,3982459,12,3680631,724993,2906808,1
382,1498931,2.3,2493476,48,4324648,1379188,2112293,1
653,4988496,12.6,3274341,120,1405862,3994775,1429121,0
775,1509612,20.1,3412325,60,3082420,2864796,1145203,1
449,3324620,25.1,2422394,60,6651687,2456052,1707637,0
462,978463,17.0,2456341,120,7451483,2959610,255156,0
586,4608814,19.2,1010104,12,6586849,2832315,516189,0
831,1795410,5.3,3842081,48,7471370,2488492,2808569,1
434,4051895,1.1,3161922,36,7988016,4204024,619921,0
698,1790005,23.8,3495063,60,1587989,3651776,491784,1
572,3996070,5.0,3935660,84,6844062,925744,2579751,0
367,2380059,2.7,1427523,12,4961047,4085782,2834075,0
727,499956,28.1,617803,24,6871122,875915,2453991,0
800,1114013,28.9,3446631,120,5105407,390398,309920,1
645,3480508,18.5,1918192,48,999586,2104008,2516769,0
405,1126436,11.4,3835988,36,4500281,1964047,800842,1
393,1521528,25.0,2793249,24,6083172,3930641,33044,1
554,2800345,6.1,1065929,36,994637,3476228,2762771,0
604,1414633,12.9,1451544,12,4036117,292727,802937,0
631,818611,10.7,2460325,24,5232123,2493822,1975623,0
446,3196630,27.4,1607575,24,3714255,3975851,221391,0
600,3506706,27.6,1163125,12,6392683,3665933,568450,0
477,3718632,19.5,878826,120,1015864,2503783,2642330,0
712,4730947,3.3,2615791,84,2761808,3078789,1776280,0
778,797570,14.5,188958,120,7610361,2808817,2995912,0
692,2248619,7.4,419889,24,4116414,1156618,541173,0
300,1323178,26.5,218013,36,1447930,2821930,2672213,0
896,4525306,4.2,2950043,24,930623,3375601,2623327,0
314,2791001,1.6,165826,48,4745308,3476319,2772541,0
900,671919,21.1,1708288,24,7445510,1248854,149485,0
319,3522310,13.6,529233,24,393317,38864,313582,0
610,406196,25.2,2369863,120,876302,3776488,1589333,1
363,1516028,2.2,185930,36,3001797,1949469,347115,0
357,3662571,24.0,152156,84,1667017,2061341,190419,0
710,2628825,1.1,1673486,24,968622,3121633,2434199,1
737,3852904,0.8,2796994,120,2387828,2802585,2085068,0
371,2941711,13.8,483018,60,5142415,3103025,2532064,0
886,4246680,6.6,2009166,120,6606322,4724344,2807392,0
492,2900316,17.8,3250789,48,2451125,3255780,427745,0
491,472724,0.8,2519742,120,5605248,231358,2493200,1
478,542055,1.1,3013683,36,6585162,1111884,131323,1
577,3929154,21.8,1296888,48,56115,2248402,1115183,0
406,385287,6.3,3770993,12,6822643,2362409,892611,1
555,2007386,19.7,625989,24,1468492,1806371,710714,0
426,277298,22.5,2440980,84,5480434,921897,2155656,1
330,1656020,1.8,1769944,36,6001210,532247,363082,0
521,3056658,23.1,175405,12,6762365,724752,2427288,0
704,1030514,8.1,3778718,36,3230676,4753972,2620872,1
758,2437274,11.7,2823873,36,5276130,1977856,1997040,0
512,4980876,2.6,949786,84,209708,4807298,243327,0
494,538372,25.2,256808,12,3575342,1674541,1789879,0
773,505585,16.8,2719564,12,7711335,1557441,1886488,0
709,1501990,15.1,2203111,84,1268237,2447788,1119102,0
800,4169639,29.1,246882,12,1209863,4733583,1101802,0
844,2147829,10.0,3945019,36,5601031,2815862,1407500,1
793,3269573,26.7,2886494,60,4083733,175868,2987335,0
862,362578,21.6,1877490,48,3639562,1357599,10939,0
550,3728386,27.9,991827,12,1986529,4904480,1526470,0
537,523644,27.2,1120630,84,1370168,772747,950795,1
493,3616242,29.7,1833492,12,5899755,4179660,1646373,0
441,910012,4.0,275754,24,2862075,1071651,11882,0
750,4320486,23.9,1502625,12,6213809,2794676,2753667,0
729,1621438,24.1,908944,48,3546712,2997736,1370999,0
781,1082202,19.3,495719,60,3177763,3969046,2908911,0
400,1816184,8.4,547312,60,1840975,3991497,462672,0
595,203958,29.0,1415049,12,5267597,300461,1750909,1
433,992590,6.1,1561256,36,2277169,1596495,2039464,1
836,3072937,15.0,1432993,24,7272589,4700474,2388547,0
460,1643740,15.6,2775360,36,3266665,1768759,27044,1
386,1898521,4.9,2112317,24,6518473,1229835,1904300,0
642,4074702,21.7,811214,84,3759609,3144864,443453,0
828,794179,2.7,3890789,84,3319182,976371,1282201,1
850,2100281,20.8,2933901,84,3625548,735470,160137,0
357,1093466,25.5,1906569,24,3531808,3989823,171946,1
495,2517669,10.5,244216,12,3831840,591053,2298959,0
392,1792397,21.3,3661984,12,7095027,4455560,2153232,1
485,421899,4.7,2990814,84,5624624,1249026,2685844,1
620,537120,25.4,1873153,120,274982,533940,2100789,1
468,4291205,28.6,688927,24,465789,3706299,1787513,0
340,473183,4.6,474796,120,182492,882678,350107,1
606,3957007,20.8,1195012,48,5527356,1832996,2295314,0
331,4596926,15.2,959104,24,1646362,1755879,690206,0
436,2435890,15.9,876796,36,3082265,2536791,319910,0
300,1698093,21.2,1659695,24,6620973,2366715,2196385,0
352,3926323,14.7,234040,84,1054318,977252,1764101,1
562,4914708,18.0,1335206,24,1225705,1173333,449136,0
811,778050,6.9,3490579,24,635519,970528,1647715,1
765,4828962,11.4,3470026,84,2282234,277633,2072805,1
359,4729937,26.0,83236,36,716901,3252256,1496663,0
320,884342,3.3,2730650,24,5032550,2353860,2153932,1
503,462743,17.9,3964810,84,5894165,541876,1513555,1
692,3631637,5.5,2334318,120,1473942,1656609,1060031,0
748,572808,25.4,1591852,48,4194593,3339204,670272,0
794,3083864,17.4,1990357,84,2424931,1425865,774545,0
505,510830,12.1,892304,84,642263,2003509,2427355,1
400,3515106,7.5,1619219,60,3735302,3718716,1119118,0
315,1312184,13.1,3750900,84,5578228,3356355,2148522,1
388,661716,28.7,2468160,12,1824874,3503538,1077590,1
339,519752,15.3,1751967,12,6304816,1908647,1576367,1
817,1105088,14.1,542198,120,7939310,2419908,1821060,0
461,2795611,22.4,3629580,12,450360,4230261,1433175,1
794,567865,11.4,692006,84,1307568,4361385,2231545,1
632,4050912,12.8,2900340,36,2315264,277780,2772429,0
623,3099844,10.1,1247309,84,6799497,4190072,2585258,0
573,1627050,4.5,1150542,60,1136877,4466487,2764273,0
792,4935638,21.4,726179,12,3760799,4712395,89976,0
326,3360989,26.2,1531569,36,4299104,1343306,2277930,0
355,3425526,27.2,2724540,60,1032989,2506546,2179655,1
554,1034943,26.4,1695730,120,336002,212711,1237204,1
537,3611656,13.6,147834,84,947889,548805,942558,0
627,2884131,8.5,1092817,120,449654,2812022,159475,0
743,4926009,19.1,682701,120,4002368,1030294,2515926,0
653,2494387,28.6,1636903,120,7492564,1121771,2520577,0
454,3454456,21.8,3615302,60,2828161,1484269,227150,1
496,1837419,14.8,3852839,36,2053744,2296016,1746420,1
752,392871,20.7,3990296,48,1876818,764699,1653524,1
421,814000,23.2,495057,84,7850799,4011571,517224,0
603,4361627,27.6,1975982,36,7671514,3340244,1646021,0
623,3742984,22.9,230056,84,5188139,3957734,2435241,0
750,1950456,13.0,2006712,60,3707038,4630357,979534,0
729,3549559,8.2,2327875,24,1278500,3001928,2177232,0
579,220945,15.0,3104925,120,7430488,1808473,2910920,1
485,378471,9.8,1378874,84,10846,4889360,1364332,1
521,2634724,28.3,192948,60,1311997,2828687,320769,0
547,3199828,15.2,1843921,24,5429123,2318755,892097,0
431,4697672,14.2,1736735,24,1467728,2080026,409191,0
675,3846364,10.4,2515614,84,865802,196941,1058229,0
425,1435187,19.2,444320,12,4768222,4779427,1932779,0
689,4112654,15.6,2472096,48,209899,4097126,607943,0
751,2559263,3.9,1633659,60,2159005,3497455,1542898,0
878,4164947,26.1,2969151,24,5141871,1106469,2994208,0
371,1034129,10.8,3936097,120,1479503,4641056,793401,1
756,325885,13.0,949103,48,6074614,881194,2639645,0
351,476924,6.2,3026852,12,757483,1207969,912815,1
502,4956243,16.6,554387,36,4906139,350049,1842274,0
405,586615,21.1,3940932,36,610165,1440986,471070,1
397,4708897,26.4,1949874,24,5854317,1639500,804289,0
405,3689653,1.5,2996892,120,6025347,3974394,2603293,0
326,900988,29.2,3121161,36,6358586,1630795,1769230,1
794,4347558,21.1,2452035,48,2257305,4778658,1708557,0
336,892209,8.5,1568343,48,1890418,1513857,1532186,1
539,887834,6.1,3029173,24,7827354,2622839,734503,1
720,2962505,8.9,1931410,48,5835906,2965965,2787503,0
895,1583929,26.3,2653412,36,1464969,4145544,1180262,0
813,1595953,8.7,2472357,12,233475,3757711,34370,1
382,1136141,13.9,1883061,36,2835573,4337777,2720056,1
893,3116863,21.2,512426,60,5321046,4688834,139665,0
692,328907,26.2,1205558,12,2999269,587304,2660524,1
407,1376354,19.8,3754318,84,6462006,470250,798004,1
569,2856471,22.6,2104703,60,4001222,2245708,207320,0
851,2535413,5.2,2562492,36,7930350,751909,661206,0
536,3559627,26.3,1071049,60,6965087,2467761,1962301,0
410,1237967,8.3,2837832,36,3769902,2949213,1637366,1
825,3309812,3.9,1972372,60,6678162,1381857,458913,0
